EventID,Evaluation Status,Origin Date,Origin Time,Magnitude,Moment Magnitude,Latitude (WGS84),Latitude Error (km),Longitude (WGS84),Longitude Error (km),Depth of Hypocenter (Km.  Rel to MSL),Depth of Hypocenter (Km. Rel to Ground Surface),Depth Uncertainty (Km. Corresponds to 1st dev),RMS,UsedPhaseCount,UsedStationCount,Author,EventType,LocationName,Nodal Plane 1 - Strike,Nodal Plane 1 - Dip,Nodal Plane 1 - Rake,Nodal Plane 2 - Strike,Nodal Plane 2 - Dip,Nodal Plane 2 - Rake,Focal Mechanism Method ID,Focal Mechanism - Azimuthal Gap,Focal Mechanism - Misfit,Maximum Station Distance (km),Last Updated
texnet2018yzih,final,2018-12-22,09:26:47,2.2,,29.0131,0.6,-97.9184,0.7,4.2,4.2,1.5,0.2,16,9,TXNet,earthquake,Central Texas,,,,,,,,,,49.22872565854949,2019-01-02 15:51:50
texnet2018yzie,final,2018-12-22,09:23:12,1.9,,29.0103,0.6,-97.9277,0.6,8.1,8.2,1.1,0.2,16,10,TXNet,earthquake,Central Texas,,,,,,,,,,27.454332271905,2019-07-30 19:22:37
texnet2018yzev,final,2018-12-22,07:41:52,3.1,,29.0067,0.5,-97.9277,0.6,6.4,6.5,1.3,0.3,37,22,TXNet,earthquake,Central Texas,,,,,,,,,,117.95230969766999,2018-12-22 19:43:55
texnet2018yzdg,final,2018-12-22,06:53:42,1.4,,28.9664,1.6,-97.8884,1.5,5.3,5.4,2.4,0.2,12,8,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,28.7502598813185,2019-02-20 19:44:50
texnet2018yzcj,final,2018-12-22,06:27:32,1.5,,28.9902,1.8,-97.9215,1.3,7.0,7.1,2.5,0.3,15,8,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,47.1896375084505,2019-01-09 20:47:27
texnet2018yzch,final,2018-12-22,06:24:39,0.9,,29.0030,1.3,-97.8843,1.0,6.8,6.9,2.6,0.3,11,8,TXNet,earthquake,Central Texas,,,,,,,,,,24.793694995135496,2019-04-10 14:32:39
texnet2018yzbd,final,2018-12-22,05:49:49,1.8,,29.0140,0.6,-97.9298,0.6,8.3,8.4,1.0,0.2,17,10,TXNet,earthquake,Central Texas,,,,,,,,,,45.618001607429996,2019-01-08 17:14:26
texnet2018yzba,final,2018-12-22,05:46:10,1.9,,29.0213,0.4,-97.9112,0.6,4.2,4.3,1.7,0.2,18,11,TXNet,earthquake,Central Texas,,,,,,,,,,47.14551746739449,2019-01-02 18:05:55
texnet2018yzao,final,2018-12-22,05:32:48,3.3,,29.0140,0.5,-97.9195,0.5,4.2,4.3,1.2,0.3,49,35,TXNet,earthquake,Central Texas,,,,,,,,,,229.006606546935,2018-12-22 21:10:07
texnet2018yzam,final,2018-12-22,05:30:30,1.4,,29.0067,0.7,-97.9174,0.8,4.1,4.2,1.9,0.2,14,8,TXNet,earthquake,Central Texas,,,,,,,,,,25.797724320942,2019-01-15 19:25:28
texnet2018yyzs,final,2018-12-22,05:07:28,1.0,,28.9865,1.3,-97.9257,1.3,7.2,7.3,2.7,0.3,12,9,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,46.945394766522,2019-04-11 15:20:09
texnet2018yywy,final,2018-12-22,03:43:01,1.7,,29.0012,0.7,-97.9029,0.6,5.2,5.2,1.5,0.2,17,10,TXNet,earthquake,Central Texas,,,,,,,,,,50.5603557252045,2019-01-03 15:16:08
texnet2018yyud,final,2018-12-22,02:17:26,3.1,,29.0213,0.6,-97.9166,0.7,6.8,6.9,1.8,0.3,26,17,TXNet,earthquake,Central Texas,,,,,,,,,,75.721732532901,2019-01-02 18:08:23
texnet2018yyro,final,2018-12-22,00:59:32,1.4,,29.0213,0.6,-97.9133,0.9,5.3,5.4,1.9,0.2,14,8,TXNet,earthquake,Central Texas,,,,,,,,,,28.9553952861495,2019-01-04 15:56:16
texnet2018yyrf,final,2018-12-22,00:48:56,1.3,,28.9828,1.3,-97.8926,1.0,4.2,4.3,1.8,0.2,14,8,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,50.119043975090996,2019-01-09 20:08:32
texnet2018yyol,final,2018-12-21,23:25:14,1.6,,29.0103,0.7,-97.8884,0.6,6.6,6.7,1.6,0.2,11,9,TXNet,earthquake,Central Texas,,,,,,,,,,28.465283864524498,2019-07-24 02:19:19
